displacement,km,link,name,price,typ
2.0T,7.39万公里,https://www.guazi.com/cd/c7de2741080199f3x.htm#fr_page=list&fr_pos=city&fr_no=27,大众 迈腾 2017款 380TSI DSG 豪华型,16.39,自动
1.4T,4.87万公里,https://www.guazi.com/cd/6072a03c5a60807bx.htm#fr_page=list&fr_pos=city&fr_no=26,奥迪A3 2016款 Limousine 35 TFSI 风尚型,13.38,自动
1.4T,2.45万公里,https://www.guazi.com/cd/aa2e4103f5d7d0e9x.htm#fr_page=list&fr_pos=city&fr_no=25,奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,18.78,自动
2.0T,1.62万公里,https://www.guazi.com/su/e8f0139e8d3e4916x.htm#fr_page=list&fr_pos=city&fr_no=24,凯迪拉克ATS-L 2017款 28T 时尚型,18.80,自动
1.4T,2.81万公里,https://www.guazi.com/gz/5695ae63941cb6c1x.htm#fr_page=list&fr_pos=city&fr_no=23,奥迪A3 2019款 Limousine 35 TFSI 时尚型 国VI,16.00,自动
2.0T,5.76万公里,https://www.guazi.com/zz/b59c349252cc01e3x.htm#fr_page=list&fr_pos=city&fr_no=22,凯迪拉克XT5 2016款 25T 豪华型,22.80,自动
1.6T,1.53万公里,https://www.guazi.com/su/f41ead7315d25595x.htm#fr_page=list&fr_pos=city&fr_no=21,纳智捷 优6 SUV 2017款 改款 1.6T 新创型,8.04,自动
2.0T,4.76万公里,https://www.guazi.com/cd/8bdbe7369d6f2b34x.htm#fr_page=list&fr_pos=city&fr_no=20,宝马3系GT 2018款 320i 时尚型(进口),26.30,自动
1.5L,2.37万公里,https://www.guazi.com/jiaxing/368e7454cdddd49ex.htm#fr_page=list&fr_pos=city&fr_no=19,别克 英朗 2017款 15N 自动进取型,6.38,自动
2.4L,5.69万公里,https://www.guazi.com/gz/585026086f3d5dd6x.htm#fr_page=list&fr_pos=city&fr_no=18,本田 奥德赛 2017款 2.4L 至尊版,23.80,自动
2.0T,1.38万公里,https://www.guazi.com/qd/7ee92d2388fa66cdx.htm#fr_page=list&fr_pos=city&fr_no=17,奔驰GLC级 2018款 改款 GLC 260 4MATIC 动感型,34.50,自动
2.0T,3.83万公里,https://www.guazi.com/su/260e1fbc39ac2817x.htm#fr_page=list&fr_pos=city&fr_no=16,宝马X1 2018款 sDrive20Li 领先型,21.60,自动
1.6L,1.87万公里,https://www.guazi.com/bj/35ac08ffebdcbeafx.htm#fr_page=list&fr_pos=city&fr_no=15,大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,9.90,自动
1.6L,2.03万公里,https://www.guazi.com/baoding/4aa037f83aa8e666x.htm#fr_page=list&fr_pos=city&fr_no=14,大众POLO 2016款 1.6L Cross Polo 自动,7.50,自动
1.5L,5.82万公里,https://www.guazi.com/nantong/1acf9d7b2b73690cx.htm#fr_page=list&fr_pos=city&fr_no=13,丰田 威驰 2014款 1.5L 自动智臻版,6.60,自动
2.0T,4.14万公里,https://www.guazi.com/ty/46674120fccfbea9x.htm#fr_page=list&fr_pos=city&fr_no=12,别克GL8 2017款 ES 28T 旗舰型 国V,34.50,自动
2.0T,2.78万公里,https://www.guazi.com/su/eee0ccdcc512fb10x.htm#fr_page=list&fr_pos=city&fr_no=11,宝马3系 2018款 320Li 时尚型,24.80,自动
1.0T,5.89万公里,https://www.guazi.com/hrb/da7b3963a42fd4c4x.htm#fr_page=list&fr_pos=city&fr_no=10,本田 思域 2016款 180TURBO CVT舒适版,10.70,自动
1.5L,7.56万公里,https://www.guazi.com/liaocheng/499ceb401ca81882x.htm#fr_page=list&fr_pos=city&fr_no=9,别克 威朗 2017款 三厢 15S 自动进取型,7.50,自动
1.6L,3.19万公里,https://www.guazi.com/baoding/1a0f267df5c18a37x.htm#fr_page=list&fr_pos=city&fr_no=8,大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,10.00,自动
1.4T,0.59万公里,https://www.guazi.com/wei/8d0ccf16d79f496ax.htm#fr_page=list&fr_pos=city&fr_no=7,Jeep 指南者 2019款 200T 自动家享-互联大屏版,11.98,自动
2.0L,4.76万公里,https://www.guazi.com/hrb/9609416afbe9e929x.htm#fr_page=list&fr_pos=city&fr_no=6,丰田 凯美瑞 2015款 2.0G 领先版,14.90,自动
1.4L,4.36万公里,https://www.guazi.com/sjz/71d62ede62a93ec9x.htm#fr_page=list&fr_pos=city&fr_no=5,大众POLO 2014款 1.4L 手动风尚版,4.88,手动
2.0T,2.46万公里,https://www.guazi.com/km/af4b553beba83c2fx.htm#fr_page=list&fr_pos=city&fr_no=4,奥迪A4L 2019款 45 TFSI quattro 个性运动版 国VI,28.80,自动
1.6L,2.28万公里,https://www.guazi.com/linfen/1c4fc040169b2001x.htm#fr_page=list&fr_pos=city&fr_no=3,大众 桑塔纳 2016款 1.6L 手动风尚版,6.00,手动
1.0T,0.07万公里,https://www.guazi.com/linfen/99cec3daf87c93b3x.htm#fr_page=list&fr_pos=city&fr_no=2,雪佛兰 科鲁泽 2019款 Redline 320T 双离合爽快版 国VI,8.60,自动
1.8T,1.08万公里,https://www.guazi.com/gz/17593bd3b562628fx.htm#fr_page=list&fr_pos=city&fr_no=1,吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,8.80,自动
1.6L,4.73万公里,https://www.guazi.com/linyi/47da97406a46513bx.htm#fr_page=list&fr_pos=city&fr_no=0,大众 朗逸 2015款 1.6L 手动舒适版,6.30,手动
1.5L,3.49万公里,https://www.guazi.com/handan/ccbaebb30777e331x.htm#fr_page=list&fr_pos=city&fr_no=38,荣威350 2015款 1.5L 手动豪华天窗版,4.50,手动
1.3L,5.49万公里,https://www.guazi.com/linfen/e9f5523b95a3b67ex.htm#fr_page=list&fr_pos=city&fr_no=37,丰田 威驰 2017款 1.3L 手动锐行版,5.90,手动
1.8T,9.36万公里,https://www.guazi.com/cd/1f9e2579e5dbb499x.htm#fr_page=list&fr_pos=city&fr_no=36,大众 帕萨特 2014款 1.8TSI DSG御尊版,10.80,自动
2.0T,3.18万公里,https://www.guazi.com/km/d402fd61d2b342f6x.htm#fr_page=list&fr_pos=city&fr_no=35,丰田 皇冠 2018款 2.0T 时尚版,26.80,自动
2.0T,8.62万公里,https://www.guazi.com/bj/fd9ca13ae5724f3cx.htm#fr_page=list&fr_pos=city&fr_no=34,奥迪A6L 2014款 TFSI 标准型,23.80,自动
1.4T,1.65万公里,https://www.guazi.com/sjz/5890a513da36e5ecx.htm#fr_page=list&fr_pos=city&fr_no=33,大众 凌渡 2019款 230TSI DSG风尚版 国V,12.30,自动
1.8T,5.67万公里,https://www.guazi.com/nantong/827a18a3a753b3d9x.htm#fr_page=list&fr_pos=city&fr_no=32,大众 途观 2016款 300TSI 自动两驱风尚版,12.80,自动
1.8L,4.83万公里,https://www.guazi.com/nantong/b3b5b9a13a0094d8x.htm#fr_page=list&fr_pos=city&fr_no=31,本田XR-V 2017款 1.8L EXi CVT舒适版,12.50,自动
2.0T,2.88万公里,https://www.guazi.com/su/2d7db342c99ecdebx.htm#fr_page=list&fr_pos=city&fr_no=30,路虎 揽胜极光 2018款 240PS SE 智耀版,25.20,自动
1.6T,8.14万公里,https://www.guazi.com/sy/2e3f6291b1d48d2cx.htm#fr_page=list&fr_pos=city&fr_no=29,奔驰B级 2012款 B 180(进口),11.58,自动
2.5L,4.04万公里,https://www.guazi.com/bj/cfc8c4c07c52855ax.htm#fr_page=list&fr_pos=city&fr_no=28,奥迪A6L 2017款 30 FSI 技术型,30.00,自动
1.6L,2.15万公里,https://www.guazi.com/baoding/7700953a57b3df4cx.htm#fr_page=list&fr_pos=city&fr_no=27,日产 骐达 2019款 1.6L CVT智行版 国V,9.90,自动
1.4T,7.42万公里,https://www.guazi.com/gz/1fab33802f1d4317x.htm#fr_page=list&fr_pos=city&fr_no=26,大众 凌渡 2017款 230TSI DSG风尚版,9.78,自动
1.5L,3.58万公里,https://www.guazi.com/nc/1e44ccebdb827964x.htm#fr_page=list&fr_pos=city&fr_no=25,马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,8.50,自动
2.0T,1万公里,https://www.guazi.com/su/3f58107a4cea1513x.htm#fr_page=list&fr_pos=city&fr_no=24,雪佛兰 迈锐宝XL 2019款 Redline 550T 自动锐联版,14.80,自动
2.0L,0.4万公里,https://www.guazi.com/su/6130378e3e186192x.htm#fr_page=list&fr_pos=city&fr_no=23,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国VI,12.70,自动
2.5L,7.95万公里,https://www.guazi.com/hrb/6751c21b2792f81ax.htm#fr_page=list&fr_pos=city&fr_no=22,马自达 阿特兹 2014款 2.5L 蓝天至尊版,12.80,自动
1.0T,5.21万公里,https://www.guazi.com/km/9c22e159a07f0f47x.htm#fr_page=list&fr_pos=city&fr_no=21,别克 英朗 2018款 15T 双离合精英型 国V,6.70,自动
3.0T,5.62万公里,https://www.guazi.com/cd/7c9a0a073963ddd4x.htm#fr_page=list&fr_pos=city&fr_no=20,捷豹XF 2013款 XF 3.0 SC 豪华版,19.68,自动
1.6L,9.84万公里,https://www.guazi.com/sjz/2b5d258e6564b147x.htm#fr_page=list&fr_pos=city&fr_no=19,大众 朗逸 2013款 改款经典 1.6L 手动风尚版,5.20,手动
1.5T,0.01万公里,https://www.guazi.com/xinxiang/c21e02844c68f24ax.htm#fr_page=list&fr_pos=city&fr_no=18,本田 思域 2019款 220TURBO CVT燃动版 国VI,14.00,自动
1.6T,5.18万公里,https://www.guazi.com/dl/d56f9c3ab9d4b8ebx.htm#fr_page=list&fr_pos=city&fr_no=17,别克 君威 2015款 1.6T 精英技术型,9.90,自动
2.0T,8.11万公里,https://www.guazi.com/luoyang/5a964c97094f74e4x.htm#fr_page=list&fr_pos=city&fr_no=16,宝马5系 2014款 520Li 典雅型,21.98,自动
1.2T,4.55万公里,https://www.guazi.com/bj/8c34071d17f4a029x.htm#fr_page=list&fr_pos=city&fr_no=15,丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,9.80,自动
1.6L,4.19万公里,https://www.guazi.com/yc/300723b3041834dbx.htm#fr_page=list&fr_pos=city&fr_no=14,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.68,自动
1.5T,3.61万公里,https://www.guazi.com/sjz/b7517813cda3eb50x.htm#fr_page=list&fr_pos=city&fr_no=2,哈弗H6 2012款 1.5T 手动两驱尊贵型,3.88,手动
1.4T,4.32万公里,https://www.guazi.com/cd/1f6837f5d75a9415x.htm#fr_page=list&fr_pos=city&fr_no=1,大众 速腾 2015款 230TSI 自动舒适型,9.50,自动
